"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131290665,"203","199","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290666,"201","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290667,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290668,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290669,"195","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290670,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290671,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290672,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290673,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290674,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290675,"195","198","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290676,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290677,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290678,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:28",0
131290679,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290680,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290681,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290682,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290683,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290684,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290685,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290686,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290687,"195","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290688,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290689,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290690,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290691,"198","198","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290692,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290693,"196","169","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290694,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290695,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290696,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:29",0
131290697,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290698,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290699,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290700,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290701,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290702,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290703,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290704,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290705,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290706,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
131290707,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:04:30",0
